Domain,Creation Date,Registrar
https[://]www.tesco.com/,"[datetime.datetime(1994, 12, 20, 5, 0), datetime.datetime(1994, 12, 20, 5, 0, tzinfo=datetime.timezone.utc)]","MarkMonitor, Inc."
https[://]www.google.com/,"[datetime.datetime(1997, 9, 15, 4, 0), datetime.datetime(1997, 9, 15, 7, 0, tzinfo=datetime.timezone.utc)]","MarkMonitor, Inc."
